frame,running,walking,idle,S,dS,p_iw,p_wi,p_iwr,p_ri,fps
1,0,0.18,0.82,0.4193602,0.4193602,0.1563811,0.8401691,0,1,129.24
2,0,0.14,0.86,0.415508,-0.003852159,0.1436811,0.8311732,0,1,123.4082
3,0,0.2,0.8,0.4195738,0.004065782,0.1982386,0.8621967,0,1,126.2619
4,0,0.1,0.9,0.4247286,0.005154788,0.123361,0.8329645,0,1,131.5244
5,0,0.2,0.8,0.4310448,0.006316215,0.139871,0.8557427,0,1,126.2057
6,0,0.24,0.76,0.4338825,0.002837718,0.1840945,0.8240297,0,1,135.2912
7,0,0.22,0.78,0.4353846,0.001502126,0.1926161,0.8807848,0,1,140.866
8,0,0.2,0.8,0.4385844,0.003199786,0.1692968,0.7905124,0,1,128.0984
9,0,0.22,0.78,0.4428354,0.004250944,0.1766957,0.7945083,0,1,122.1081
10,0,0.16,0.84,0.4409625,-0.001872897,0.137456,0.896526,0,1,134.1503
11,0,0.16,0.84,0.4412076,0.0002451539,0.1648663,0.8181347,0,1,136.6551
12,0,0.08,0.92,0.4419867,0.0007790625,0.1398711,0.8449638,0,1,146.32
13,0,0.22,0.78,0.4400826,-0.00190407,0.1620353,0.8715914,0,1,62.50699
14,0,0.16,0.84,0.4418141,0.001731515,0.1951164,0.8634533,0,1,127.044
15,0,0.08,0.92,0.447281,0.005466878,0.1014229,0.8742946,0,1,131.2973
16,0,0.1,0.9,0.4528839,0.005602896,0.1312225,0.8486739,0,1,138.914
17,0,0.06,0.94,0.4644558,0.01157185,0.08266793,0.8769801,0,1,116.7186
18,0,0.2,0.8,0.4699063,0.005450547,0.1894013,0.757251,0,1,143.5445
19,0,0.18,0.82,0.4753263,0.005420029,0.2071569,0.7123387,0,1,143.0308
20,0,0.24,0.76,0.4781489,0.002822608,0.1835437,0.7590923,0,1,144.5561
21,0,0.1,0.9,0.4800637,0.00191474,0.1273166,0.8587138,0,1,141.5567
22,0,0.26,0.74,0.485832,0.005768299,0.1971774,0.7793946,0,1,141.3513
23,0,0.26,0.74,0.4868212,0.0009892583,0.2192084,0.7553589,0,1,146.4781
24,0,0.28,0.72,0.4903284,0.003507137,0.205699,0.7487144,0,1,145.5277
25,0,0.2,0.8,0.4904427,0.0001142919,0.201612,0.8287279,0,1,132.2946
26,0,0.2,0.8,0.4902228,-0.0002198219,0.2011377,0.7637317,0,1,142.6317
27,0,0.24,0.76,0.4911754,0.000952512,0.2984634,0.7153457,0,1,134.2831
28,0,0.18,0.82,0.4954065,0.004231155,0.1963255,0.7897875,0,1,138.004
29,0,0.14,0.86,0.4982674,0.002860874,0.118568,0.9091424,0,1,149.5198
30,0,0.16,0.84,0.4981728,-9.459257E-05,0.123361,0.8486566,0,1,144.2418
31,0,0.14,0.86,0.4985763,0.0004034936,0.1652184,0.8436623,0,1,145.5889
32,0,0.2,0.8,0.5003864,0.001810133,0.1522536,0.8252848,0,1,147.9377
33,0,0.08,0.92,0.4985134,-0.001872987,0.1563811,0.8749278,0,1,146.5814
34,0,0.14,0.86,0.4984009,-0.0001125038,0.1817285,0.7889678,0,1,142.4102
35,0,0.2,0.8,0.495212,-0.003188908,0.19173,0.8345239,0,1,147.6364
36,0,0.14,0.86,0.4941995,-0.001012504,0.1487083,0.8136983,0,1,146.5194
37,0,0.1,0.9,0.4929545,-0.001245022,0.126536,0.87735,0,1,139.8989
38,0,0.1,0.9,0.4935155,0.0005609989,0.126536,0.8212277,0,1,144.3486
39,0,0.22,0.78,0.4945254,0.001009911,0.1700033,0.8435304,0,1,121.1732
40,0,0.14,0.86,0.494052,-0.0004734397,0.2000149,0.7834868,0,1,129.3902
41,0,0.22,0.78,0.4958093,0.001757354,0.1487083,0.8136983,0,1,135.3323
42,0,0.28,0.72,0.5010949,0.005285621,0.2329786,0.7294907,0,1,122.912
43,0,0.14,0.86,0.504538,0.003443062,0.1522536,0.8218202,0,1,133.0908
44,0,0.14,0.86,0.5043951,-0.0001428723,0.1566385,0.8148824,0,1,140.5992
45,0,0.2,0.8,0.503487,-0.0009081364,0.1241073,0.8624433,0,1,112.4702
46,0,0.24,0.76,0.50375,0.0002630353,0.1607311,0.8126325,0,1,134.6718
47,0,0.22,0.78,0.506149,0.002398968,0.1692968,0.8466219,0,1,126.3336
48,0,0.22,0.78,0.5054811,-0.00066787,0.1852173,0.8130082,0,1,136.817
49,0,0.22,0.78,0.5071571,0.001676023,0.1824957,0.7564442,0,1,140.987
50,0,0.3,0.7,0.5050779,-0.002079248,0.1894013,0.7601739,0,1,134.1272
51,0,0.2,0.8,0.504056,-0.001021862,0.2042604,0.7516332,0,1,128.6959
52,0,0.32,0.68,0.5080547,0.003998697,0.2389838,0.7179273,0,1,133.29
53,0,0.22,0.78,0.5121632,0.004108489,0.2263521,0.7263426,0,1,128.1194
54,0,0.18,0.82,0.5104737,-0.001689494,0.2192084,0.7917818,0,1,129.5353
55,0,0.22,0.78,0.5081906,-0.002283156,0.2545831,0.7421268,0,1,131.0875
56,0,0.18,0.82,0.5078396,-0.0003510118,0.1778184,0.8576612,0,1,118.5786
57,0,0.24,0.76,0.5101539,0.002314329,0.2011377,0.7562711,0,1,135.01
58,0,0.2,0.8,0.5074089,-0.002744973,0.1663827,0.8862763,0,1,130.6536
59,0,0.28,0.72,0.5098678,0.00245893,0.2648195,0.7699552,0,1,116.5571
60,0,0.18,0.82,0.5114745,0.001606643,0.129965,0.8766559,0,1,145.4734
61,0,0.18,0.82,0.5127395,0.001264989,0.1779252,0.7629777,0,1,148.5297
62,0,0.22,0.78,0.5102708,-0.002468646,0.2192084,0.8023304,0,1,145.3784
63,0,0.16,0.84,0.5075626,-0.002708197,0.161898,0.8327633,0,1,139.5982
64,0,0.22,0.78,0.5041716,-0.003391027,0.1817284,0.751167,0,1,149.692
65,0,0.22,0.78,0.502086,-0.002085567,0.2159354,0.727281,0,1,145.0605
66,0,0.28,0.72,0.4950607,-0.007025391,0.2147486,0.7799292,0,1,144.5695
67,0,0.24,0.76,0.4951384,7.772446E-05,0.1871484,0.835392,0,1,123.8691
68,0,0.14,0.86,0.4906893,-0.004449069,0.1277451,0.9253342,0,1,149.4409
69,0,0.18,0.82,0.4916122,0.0009228587,0.1852173,0.7760262,0,1,139.7045
70,0,0.08,0.92,0.4936115,0.001999348,0.1341233,0.8411596,0,1,141.1593
71,0,0.26,0.74,0.4923418,-0.001269728,0.2263521,0.7296878,0,1,139.9303
72,0,0.16,0.84,0.4894447,-0.002897114,0.141267,0.8082849,0,1,137.9124
73,0,0.28,0.72,0.4878714,-0.001573235,0.2255797,0.7972671,0,1,142.7166
74,0,0.28,0.72,0.4899391,0.002067685,0.2342106,0.7742841,0,1,145.3581
75,0,0.18,0.82,0.4943077,0.004368544,0.1482975,0.8628474,0,1,143.4652
76,0,0.24,0.76,0.4914549,-0.002852798,0.1889906,0.7715569,0,1,130.5168
77,0,0.14,0.86,0.4927303,0.00127545,0.1436811,0.8362753,0,1,134.6601
78,0,0.24,0.76,0.4899421,-0.002788216,0.2206432,0.7755857,0,1,139.7797
79,0,0.14,0.86,0.4900591,0.0001170337,0.1740556,0.8316815,0,1,122.4967
80,0,0.14,0.86,0.4859781,-0.004081011,0.123361,0.8684925,0,1,145.101
81,0,0.18,0.82,0.4866423,0.0006642044,0.1700033,0.7905669,0,1,126.2006
82,0,0.22,0.78,0.4866907,4.839897E-05,0.1883575,0.781753,0,1,141.5246
83,0,0.2,0.8,0.4861521,-0.0005385876,0.2085365,0.808916,0,1,123.7904
84,0,0.24,0.76,0.4887291,0.002576947,0.2235858,0.7870154,0,1,126.7496
85,0,0.14,0.86,0.4928844,0.004155338,0.1522536,0.8624772,0,1,133.1761
86,0,0.2,0.8,0.4993296,0.006445169,0.1817284,0.8316817,0,1,136.829
87,0,0.24,0.76,0.5087857,0.009456068,0.2324231,0.8026076,0,1,148.2754
88,0,0.24,0.76,0.5138484,0.005062699,0.1883575,0.8066552,0,1,148.6571
89,0,0.16,0.84,0.5146537,0.000805378,0.2134705,0.8059794,0,1,126.9922
90,0,0.14,0.86,0.5142729,-0.0003808141,0.2214385,0.8334683,0,1,124.2146
91,0,0.24,0.76,0.5152229,0.0009499788,0.2820509,0.7190926,0,1,109.281
92,0,0.2,0.8,0.5155122,0.0002892613,0.2489331,0.747362,0,1,132.6097
93,0,0.18,0.82,0.5173381,0.001825929,0.1398711,0.8485568,0,1,139.2864
94,0,0.08,0.92,0.5165971,-0.0007410049,0.1740556,0.8664403,0,1,119.2544
95,0,0.26,0.74,0.5155887,-0.001008391,0.1952959,0.7840732,0,1,130.4786
96,0,0.24,0.76,0.517097,0.001508296,0.2694341,0.8016312,0,1,118.565
97,0,0.14,0.86,0.5217922,0.004695237,0.2042935,0.8378754,0,1,137.8392
98,0,0.12,0.88,0.5238879,0.002095699,0.1575455,0.8323324,0,1,139.4047
99,0,0.2,0.8,0.5260624,0.002174497,0.1577704,0.8678602,0,1,131.2918
100,0,0.16,0.84,0.527391,0.001328588,0.1907112,0.8027778,0,1,107.3211
101,0,0.12,0.88,0.5289851,0.001594067,0.154162,0.8680959,0,1,130.4458
102,0,0.2,0.8,0.5324714,0.003486276,0.1834577,0.7721893,0,1,121.9266
103,0,0.26,0.74,0.5339786,0.001507282,0.2256173,0.8324551,0,1,121.2627
104,0,0.26,0.74,0.5386784,0.004699767,0.226549,0.7728858,0,1,121.6602
105,0,0.26,0.74,0.5425236,0.003845155,0.2759713,0.7969067,0,1,133.1875
106,0,0.16,0.84,0.5443161,0.00179249,0.217917,0.8060877,0,1,137.949
107,0,0.18,0.82,0.5463699,0.002053797,0.1942594,0.8297459,0,1,130.7248
108,0,0.16,0.84,0.5446758,-0.001694083,0.2192269,0.8019333,0,1,125.707
109,0,0.22,0.78,0.5490237,0.00434792,0.1834577,0.8136091,0,1,132.9036
110,0,0.16,0.84,0.5540884,0.005064666,0.1847152,0.8635126,0,1,136.0172
111,0,0.22,0.78,0.5580493,0.003960967,0.175171,0.8642156,0,1,107.5062
112,0,0.12,0.88,0.5606393,0.002590001,0.158885,0.8999904,0,1,128.03
113,0,0.1,0.9,0.5646525,0.004013181,0.1621955,0.8433456,0,1,103.1867
114,0,0.2,0.8,0.5652522,0.0005997419,0.2650066,0.7660274,0,1,129.8104
115,0,0.14,0.86,0.5664293,0.001177013,0.1480917,0.9397575,0,1,111.3972
116,0,0.16,0.84,0.5668329,0.0004036427,0.1868545,0.8417719,0,1,134.9224
117,0,0.1,0.9,0.5695885,0.002755642,0.1778472,0.9333649,0,1,95.4853
118,0,0.18,0.82,0.570441,0.0008524656,0.1621955,0.912229,0,1,143.1688
119,0,0.28,0.72,0.5756476,0.005206585,0.2519184,0.8301632,0,1,129.4063
120,0,0.28,0.72,0.5783471,0.002699554,0.2076547,0.8329233,0,1,139.8863
121,0,0.2,0.8,0.5784363,8.910894E-05,0.2278589,0.8673944,0,1,113.6426
122,0,0.2,0.8,0.5784854,4.917383E-05,0.209285,0.8020456,0,1,143.69
123,0,0.16,0.84,0.5792946,0.0008091927,0.1774589,0.8648166,0,1,136.1241
124,0,0.2,0.8,0.578003,-0.001291573,0.2076547,0.7992642,0,1,143.1622
125,0,0.18,0.82,0.5746858,-0.003317237,0.175171,0.8058483,0,1,124.3384
126,0,0.16,0.84,0.575222,0.0005361438,0.1522536,0.8394158,0,1,137.5838
127,0,0.32,0.68,0.5734487,-0.001773298,0.3058766,0.7595642,0,1,134.4801
128,0,0.16,0.84,0.5714845,-0.001964152,0.1868545,0.8644108,0,1,129.8645
129,0,0.16,0.84,0.5720374,0.0005528927,0.1743928,0.892444,0,1,126.1649
130,0,0.16,0.84,0.5744526,0.00241518,0.1480917,0.8708034,0,1,133.6098
131,0,0.1,0.9,0.5729922,-0.001460373,0.1263577,0.9265725,0,1,132.2104
132,0,0.22,0.78,0.5763196,0.00332737,0.1721374,0.8332896,0,1,106.4345
133,0,0.14,0.86,0.5773517,0.001032174,0.150253,0.8993706,0,1,143.4322
134,0,0.22,0.78,0.5851562,0.007804453,0.2041483,0.8591947,0,1,135.9935
135,0,0.2,0.8,0.590914,0.005757749,0.2817766,0.8712536,0,1,125.8288
136,0,0.26,0.74,0.5936584,0.002744496,0.2359914,0.7407452,0,1,141.3129
137,0,0.24,0.76,0.5985497,0.004891276,0.2046647,0.7716462,0,1,131.6688
138,0,0.14,0.86,0.5999182,0.001368463,0.1349897,0.9002151,0,1,121.1873
139,0,0.26,0.74,0.6035951,0.003676951,0.2042935,0.7980486,0,1,145.725
140,0,0.2,0.8,0.60852,0.004924834,0.2059746,0.8708168,0,1,133.1989
141,0,0.12,0.88,0.6077636,-0.0007563829,0.1907112,0.8628621,0,1,139.1745
142,0,0.26,0.74,0.6061603,-0.001603305,0.2364909,0.7789031,0,1,130.1518
143,0,0.18,0.82,0.6045368,-0.001623452,0.2007271,0.8636007,0,1,129.3472
144,0,0.14,0.86,0.6056095,0.001072645,0.1182486,0.8993012,0,1,132.6097
145,0,0.3,0.7,0.6060883,0.0004788637,0.2444323,0.8278426,0,1,135.2501
146,0,0.3,0.7,0.6074131,0.001324773,0.2458834,0.7898893,0,1,128.1563
147,0,0.26,0.74,0.6099179,0.002504826,0.282281,0.7894564,0,1,131.7857
148,0,0.36,0.64,0.6145468,0.004628897,0.3218036,0.791051,0,1,131.8582
149,0,0.24,0.76,0.6164476,0.001900733,0.2006531,0.8898222,0,1,142.6056
150,0,0.24,0.76,0.6196481,0.003200531,0.2528607,0.7608065,0,1,138.6114
151,0,0.14,0.86,0.6253294,0.005681276,0.1952959,0.7949858,0,1,128.051
152,0,0.22,0.78,0.6295047,0.004175305,0.2134705,0.7119573,0,1,138.7965
153,0,0.24,0.76,0.6343321,0.00482744,0.1477959,0.8403181,0,1,145.4056
154,0,0.12,0.88,0.6380288,0.00369668,0.118568,0.8693157,0,1,139.642
155,0,0.12,0.88,0.6409187,0.002889931,0.1528582,0.8031472,0,1,136.6791
156,0,0.18,0.82,0.6422392,0.001320481,0.1456327,0.8993706,0,1,139.3548
157,0,0.26,0.74,0.6420047,-0.0002345443,0.2837615,0.8026597,0,1,135.3735
158,0,0.3,0.7,0.6429405,0.0009357929,0.3446394,0.722744,0,1,125.1168
159,0,0.12,0.88,0.6399771,-0.002963364,0.1584658,0.9108433,0,1,140.6943
160,0,0.26,0.74,0.6400431,6.604195E-05,0.271638,0.7651832,0,1,127.7362
161,0,0.22,0.78,0.6379396,-0.002103508,0.2382078,0.7356276,0,1,132.9319
162,0,0.2,0.8,0.6366049,-0.001334727,0.1584658,0.9010147,0,1,122.7668
163,0,0.14,0.86,0.6379759,0.001371026,0.1721374,0.9080746,0,1,134.794
164,0,0.16,0.84,0.6405652,0.002589285,0.2046647,0.8675067,0,1,135.127
165,0,0.26,0.74,0.6437556,0.003190339,0.2563746,0.8274465,0,1,141.6596
166,0,0.26,0.74,0.6452845,0.001528919,0.2650066,0.801089,0,1,133.2103
167,0,0.12,0.88,0.6466473,0.00136286,0.1708275,0.8697032,0,1,147.8044
168,0,0.18,0.82,0.6474817,0.0008343458,0.1390844,0.9391106,0,1,131.8582
169,0,0.3,0.7,0.6489885,0.001506865,0.2359914,0.8407736,0,1,130.3095
170,0,0.2,0.8,0.6453846,-0.003603995,0.1734473,0.8688588,0,1,135.1036
171,0,0.16,0.84,0.6417017,-0.003682852,0.1721374,0.8776751,0,1,138.0284
172,0,0.32,0.68,0.644061,0.002359331,0.2851284,0.8067605,0,1,145.5549
173,0,0.1,0.9,0.6429576,-0.001103401,0.1778472,0.9100792,0,1,139.1745
174,0,0.2,0.8,0.6414788,-0.001478791,0.1930019,0.8084308,0,1,129.1865
175,0,0.18,0.82,0.6397702,-0.001708686,0.1573401,0.9012676,0,1,130.5387
176,0,0.12,0.88,0.6376727,-0.002097428,0.1490534,0.8726792,0,1,142.4688
177,0,0.24,0.76,0.6362721,-0.00140065,0.2108328,0.8622147,0,1,142.9456
178,0,0.16,0.84,0.6336166,-0.002655447,0.2012376,0.7573193,0,1,143.0768
179,0,0.3,0.7,0.6337057,8.910894E-05,0.2881722,0.7097065,0,1,132.16
180,0,0.22,0.78,0.6392055,0.00549978,0.1952959,0.7835223,0,1,135.5029
181,0,0.22,0.78,0.6402617,0.001056194,0.2448261,0.7239333,0,1,139.3362
182,0,0.28,0.72,0.6434619,0.003200233,0.256606,0.7665625,0,1,132.9603
183,0,0.14,0.86,0.6433039,-0.0001580119,0.1700033,0.8672882,0,1,134.1964
184,0,0.12,0.88,0.642836,-0.0004678965,0.1779713,0.8466892,0,1,137.0214
185,0,0.12,0.88,0.6409237,-0.001912355,0.1608262,0.7906706,0,1,129.9511
186,0,0.12,0.88,0.6394064,-0.001517296,0.1700033,0.8435303,0,1,136.6431
187,0,0.14,0.86,0.6368183,-0.002588093,0.1106,0.8767779,0,1,132.2665
188,0,0.12,0.88,0.6364502,-0.0003681183,0.1357131,0.844882,0,1,130.7577
189,0,0.18,0.82,0.6355556,-0.0008945465,0.1712124,0.8067589,0,1,136.9673
190,0,0.16,0.84,0.6352722,-0.0002834201,0.1528582,0.8759984,0,1,139.7171
191,0,0.1,0.9,0.632521,-0.002751231,0.1357131,0.8486131,0,1,127.1943
192,0,0.18,0.82,0.6332403,0.0007193089,0.1436811,0.8723708,0,1,138.0406
193,0,0.1,0.9,0.6307285,-0.00251174,0.1093909,0.8980526,0,1,136.1062
194,0,0.1,0.9,0.6331143,0.002385736,0.1620353,0.8641291,0,1,121.4895
195,0,0.08,0.92,0.6354996,0.002385318,0.09224582,0.8743983,0,1,131.2697
196,0,0.16,0.84,0.6337554,-0.001744151,0.1357131,0.872943,0,1,127.9512
197,0,0.18,0.82,0.6380009,0.00424546,0.2042935,0.8627775,0,1,122.0794
198,0,0.2,0.8,0.6407911,0.002790213,0.175171,0.8103238,0,1,142.71
199,0,0.14,0.86,0.6434528,0.002661645,0.1457656,0.8364763,0,1,131.5799
200,0,0.22,0.78,0.6443895,0.000936687,0.1889906,0.8579529,0,1,122.9217
201,0,0.26,0.74,0.6433214,-0.001068056,0.2415002,0.7439947,0,1,139.924
202,0,0.16,0.84,0.6405144,-0.002806962,0.1676366,0.7845834,0,1,108.7739
203,0,0.24,0.76,0.6400155,-0.0004988909,0.1791537,0.7896312,0,1,137.888
204,0,0.16,0.84,0.6408299,0.0008143783,0.1676367,0.7845834,0,1,122.593
205,0,0.1,0.9,0.638932,-0.001897871,0.129965,0.8662627,0,1,125.7882
206,0,0.2,0.8,0.6391345,0.0002024174,0.1712424,0.7865129,0,1,137.0214
207,0,0.16,0.84,0.6371337,-0.002000749,0.1527776,0.8407717,0,1,130.7303
208,0,0.16,0.84,0.6340489,-0.003084838,0.141267,0.8373014,0,1,121.2627
209,0,0.1,0.9,0.6308867,-0.003162146,0.1566385,0.8148824,0,1,146.1622
210,0,0.16,0.84,0.6274804,-0.003406286,0.1379185,0.8619474,0,1,143.9687
211,0,0.18,0.82,0.6250317,-0.002448738,0.129965,0.8171275,0,1,146.9475
212,0,0.16,0.84,0.6214377,-0.003594041,0.1522536,0.795232,0,1,144.536
213,0,0.24,0.76,0.6158432,-0.005594432,0.2096593,0.7556435,0,1,140.3081
214,0,0.22,0.78,0.6131021,-0.002741158,0.224457,0.7777044,0,1,148.1767
215,0,0.14,0.86,0.6100732,-0.00302887,0.1740556,0.8388675,0,1,123.6138
216,0,0.14,0.86,0.6093627,-0.000710547,0.1728912,0.8130474,0,1,144.4757
217,0,0.24,0.76,0.6092396,-0.0001230836,0.2536634,0.777877,0,1,144.1817
218,0,0.14,0.86,0.6071075,-0.002132118,0.1669475,0.8829079,0,1,123.555
219,0,0.18,0.82,0.6034161,-0.003691316,0.2059114,0.7805801,0,1,125.6716
220,0,0.06,0.94,0.6018845,-0.001531601,0.09224582,0.9061908,0,1,152.7727
221,0,0.14,0.86,0.6018521,-3.248453E-05,0.1589794,0.8915147,0,1,57.54602
222,0,0.24,0.76,0.6036792,0.00182718,0.1834577,0.868096,0,1,118.1427
223,0,0.18,0.82,0.6081703,0.004491031,0.1620353,0.8715915,0,1,118.1382
224,0,0.1,0.9,0.6088408,0.0006704926,0.1068509,0.8925722,0,1,131.7189
225,0,0.18,0.82,0.6058897,-0.002951086,0.1728912,0.7848392,0,1,134.6311
226,0,0.26,0.74,0.6014246,-0.004465044,0.2329786,0.7034338,0,1,138.673
227,0,0.22,0.78,0.6018016,0.0003769994,0.2252681,0.7336388,0,1,132.2721
228,0,0.16,0.84,0.6024095,0.0006078482,0.161898,0.8588201,0,1,121.7647
229,0,0.12,0.88,0.6004118,-0.001997709,0.1289344,0.8410439,0,1,126.894
230,0,0.2,0.8,0.5990707,-0.001341045,0.1607752,0.8142633,0,1,131.591
231,0,0.12,0.88,0.5967225,-0.002348244,0.1648663,0.8075861,0,1,128.5367
232,0,0.14,0.86,0.5987421,0.002019644,0.1766957,0.8021793,0,1,146.3887
233,0,0.2,0.8,0.5993087,0.0005665421,0.1817285,0.8123966,0,1,136.5713
234,0,0.18,0.82,0.5990542,-0.0002544522,0.1563811,0.7778375,0,1,142.2477
235,0,0.22,0.78,0.602523,0.003468752,0.1864587,0.8076019,0,1,137.1058
236,0,0.2,0.8,0.6013588,-0.001164138,0.176414,0.8254482,0,1,140.0119
237,0,0.24,0.76,0.6007321,-0.0006267428,0.1873814,0.7851672,0,1,123.9726
238,0,0.28,0.72,0.6028423,0.002110243,0.2417236,0.7257366,0,1,133.3356
239,0,0.24,0.76,0.6059707,0.00312835,0.2170582,0.7713066,0,1,129.0635
